0x1.011cd7796dc72p+7,0x1.0c39b68724ba2p+7,0x1.2bb9a1a304p+7,0x1.77ba8f78db45ep+7
0x1.0c7dd712dc49cp+7,0x1.0ea3d5e74c39p+7,0x1.3748b7d550d9p+7,0x1.7a95cf0a6a52cp+7
0x1.1648e27e021d9p+7,0x1.0d0a258df7cc4p+7,0x1.41a236d54bf47p+7,0x1.7aa0de8078033p+7
0x1.230459619de9ep+7,0x1.0b4b1d92490a3p+7,0x1.4ef383e75bb9ap+7,0x1.7aca6f000a9edp+7
0x1.2e99ff1db9bb5p+7,0x1.097c478b6876ep+7,0x1.5b08ae1298224p+7,0x1.7a0bd94bbe1cdp+7
0x1.3bd59d999815dp+7,0x1.081963ddf8eaap+7,0x1.68a07b64e50ccp+7,0x1.79ccf25f03016p+7
0x1.4567d795c9b7dp+7,0x1.087d19b1dc2a8p+7,0x1.717913c8f031cp+7,0x1.786255ec4ce0ep+7
0x1.5486062049d14p+7,0x1.07c94294dc429p+7,0x1.80c4c9baec86cp+7,0x1.78513faba246ep+7
0x1.5cb1f11bb32cp+7,0x1.089e911a50a98p+7,0x1.88b2be578c4cp+7,0x1.7868d74d6f1cdp+7
0x1.686b7433c8a44p+7,0x1.07ef89161263ap+7,0x1.952e66547865dp+7,0x1.798e063342dd8p+7
0x1.74da945506747p+7,0x1.0a5c875ae656ep+7,0x1.a14a9016cb4d5p+7,0x1.7b2ae1ace4376p+7
0x1.80d0be1914d48p+7,0x1.09b4cf904a988p+7,0x1.ac8f57f4bf6d2p+7,0x1.78cca02b7b56p+7
0x1.8e2956247be6fp+7,0x1.0a71fd5b59913p+7,0x1.baa2a6c4caef5p+7,0x1.7b47eea4a66edp+7
0x1.97aa446634c04p+7,0x1.0b705063d9953p+7,0x1.c4af089263721p+7,0x1.7dc49269f6755p+7
0x1.a6f980758e088p+7,0x1.094aa33dfcef7p+7,0x1.d462f33a22eap+7,0x1.7c9ad78ad2327p+7
0x1.b1d0bf14e488fp+7,0x1.0b7922f589e45p+7,0x1.df21c3eac9a29p+7,0x1.7e79c7b905974p+7
0x1.bba4fd4f5d4a4p+7,0x1.0b2cba2a7d95cp+7,0x1.e9569cfe49576p+7,0x1.7f32b2f8c1c88p+7
0x1.cab773bc96ed4p+7,0x1.0baae59054db6p+7,0x1.f81cc7ea85ff8p+7,0x1.7ed77f0f9bf12p+7
0x1.d11e84f3f6aaep+7,0x1.0cf3552f7b6e8p+7,0x1.fe15fb0c09552p+7,0x1.7f0af9be455a7p+7
0x1.e2584d5799b98p+7,0x1.08fef9d7a5b8ap+7,0x1.07d108303ae2ep+8,0x1.7bf2deaf86abap+7
0x1.e9c374c5de043p+7,0x1.0dc698564a0a9p+7,0x1.0b4c2d0c1580cp+8,0x1.7f8dfbb02332fp+7
0x1.f2da3515de2a2p+7,0x1.0b12dcb8ad81p+7,0x1.0fcefc817f5fcp+8,0x1.7ca0b81539398p+7
